Date,Precip_in,Tmin_C,Tmax_C,PET_in,Flow_in,Flow_cfs
1/1/2000,0,-7.8,8.9,0.034099923,0.02258507,15
1/2/2000,0.051181102,-1.7,12.2,0.039242871,0.02258507,15
1/3/2000,0.098425197,5.6,17.2,0.045621375,0.02258507,15
1/4/2000,0.921259843,2.8,16.7,0.047348692,0.036136113,24
1/5/2000,0.228346457,-6.7,8.3,0.033381502,0.111419681,74
1/6/2000,0,-10,2.2,0.022623174,0.067755211,45
1/7/2000,0,-3.9,7.2,0.030373288,0.045170141,30
1/8/2000,0,-3.3,3.9,0.022905768,0.028607756,19
1/9/2000,0,-1.1,9.4,0.033763923,0.027102085,18
1/10/2000,0.948818898,1.7,11.1,0.035461564,0.058721183,39
1/11/2000,0,3.9,13.9,0.040641768,0.093351624,62
1/12/2000,0,-3.3,6.1,0.02854524,0.063238197,42
1/13/2000,0.299212598,-11.7,-2.2,0.016341364,0.049687155,33
1/14/2000,0,-15.6,-8.3,0.00778502,0.042158798,28
1/15/2000,0,-17.2,-7.2,0.008794069,0.036136113,24
1/16/2000,0.070866142,-17.2,3.9,0.025650006,0.036136113,24
1/17/2000,0,-19.4,-10,0.004801455,0.03312477,22
1/18/2000,0,-17.8,-6.1,0.010199395,0.030113427,20
1/19/2000,0,-17.2,-5.6,0.011212737,0.028607756,19
1/20/2000,0.098425197,-17.2,-6.1,0.010639254,0.028607756,19
1/21/2000,0.031496063,-16.7,-7.8,0.008680113,0.027102085,18
1/22/2000,0,-17.8,-9.4,0.006444306,0.024090742,16
1/23/2000,0,-18.9,-6.1,0.010139137,0.024090742,16
1/24/2000,0,-9.4,1.7,0.025105449,0.02258507,15
1/25/2000,0.700787402,-9.4,-1.1,0.019733426,0.025596413,17
1/26/2000,0.011811024,-7.2,-0.6,0.019695424,0.025596413,17
1/27/2000,0,-15.6,-5,0.013611912,0.024090742,16
1/28/2000,0,-17.8,-6.7,0.010419563,0.02258507,15
1/29/2000,0,-15.6,1.1,0.024561547,0.021079399,14
1/30/2000,0,-15,8.9,0.041537666,0.021079399,14
1/31/2000,0.38976378,-2.2,3.3,0.025068423,0.034630441,23
2/1/2000,0,-5,3.9,0.030318025,0.03312477,22
2/2/2000,0,-9.4,-3.3,0.016851536,0.027102085,18
2/3/2000,0,-15.6,0.6,0.024989501,0.024090742,16
2/4/2000,0.019685039,-8.3,0,0.023980945,0.024090742,16
2/5/2000,0,-7.2,3.3,0.031687266,0.024090742,16
2/6/2000,0.011811024,-7.2,1.1,0.026527072,0.02258507,15
2/7/2000,0,-8.3,6.1,0.04002959,0.02258507,15
2/8/2000,0,-14.4,-1.7,0.022209542,0.021079399,14
2/9/2000,0,-7.8,8.3,0.046848354,0.02258507,15
2/10/2000,0,-3.3,6.7,0.040367149,0.024090742,16
2/11/2000,0.098425197,-3.3,3.9,0.032176793,0.028607756,19
2/12/2000,0,-10.6,0,0.027288367,0.027102085,18
2/13/2000,0,-12.8,3.9,0.037023725,0.024090742,16
2/14/2000,1.279527559,-0.6,6.7,0.03869373,0.147555793,98
2/15/2000,0,-4.4,3.9,0.035150018,0.114431024,76
2/16/2000,0.019685039,-5.6,8.3,0.050236913,0.072272225,48
2/17/2000,0.011811024,-10.6,2.2,0.034651861,0.057215512,38
2/18/2000,0.779527559,-10.6,0,0.029334423,0.049687155,33
2/19/2000,0.24015748,-5.6,1.1,0.029363506,0.051192826,34
2/20/2000,0.039370079,-2.8,2.8,0.031100752,0.046675812,31
2/21/2000,0,-7.8,5.6,0.045680567,0.042158798,28
2/22/2000,0,-9.4,8.3,0.054882117,0.046675812,31
2/23/2000,0,-1.7,11.7,0.063873326,0.060226854,40
2/24/2000,0.200787402,1.7,15.6,0.076370413,0.073777897,49
2/25/2000,0.799212598,1.1,7.8,0.045133591,0.117442366,78
2/26/2000,0.11023622,1.1,4.4,0.029601957,0.164118178,109
2/27/2000,0,2.8,16.7,0.08240939,0.149061465,99
2/28/2000,0.24015748,2.2,13.3,0.069098929,0.147555793,98
2/29/2000,0,1.1,9.4,0.054534785,0.13249908,88
3/1/2000,0,1.7,9.4,0.05382852,0.108408338,72
3/2/2000,0.019685039,2.2,10,0.056093465,0.093351624,62
3/3/2000,0,0,8.3,0.053752212,0.075283568,50
3/4/2000,0,-0.6,11.1,0.067781278,0.05570984,37
3/5/2000,0,1.7,10,0.059238665,0.049687155,33
3/6/2000,0,-2.8,8.9,0.062702955,0.039147455,26
3/7/2000,0.011811024,-3.9,16.7,0.09764623,0.042158798,28
3/8/2000,0,2.2,12.2,0.07106019,0.034630441,23
3/9/2000,0.051181102,4.4,25.6,0.137236376,0.03312477,22
3/10/2000,0.019685039,1.7,12.2,0.073671349,0.03312477,22
3/11/2000,1.208661417,1.1,3.9,0.031540192,0.054204169,36
3/12/2000,0.358267717,0.6,4.4,0.037136063,0.141533108,94
3/13/2000,0,-5,4.4,0.05088457,0.096362967,64
3/14/2000,0,-6.7,12.2,0.085616897,0.073777897,49
3/15/2000,0,-0.6,17.8,0.109652347,0.064743869,43
3/16/2000,0.251968504,3.9,23.3,0.135294117,0.06624954,44
3/17/2000,0.830708661,-7.2,3.9,0.053171632,0.134004751,89
3/18/2000,0,-11.1,1.1,0.044625907,0.106902667,71
3/19/2000,0,-7.8,3.9,0.054654203,0.085823268,57
3/20/2000,0,-3.9,4.4,0.052938821,0.075283568,50
3/21/2000,0.011811024,0.6,3.3,0.033359194,0.070766554,47
3/22/2000,0.011811024,0,8.9,0.068889267,0.069260883,46
3/23/2000,0,-0.6,17.2,0.115368703,0.064743869,43
3/24/2000,0,0,16.1,0.109691385,0.061732526,41
3/25/2000,0,-1.7,19.4,0.13066197,0.058721183,39
3/26/2000,0,6.1,18.9,0.116766955,0.054204169,36
3/27/2000,0,-0.6,16.7,0.116860322,0.054204169,36
3/28/2000,1.228346457,4.4,15,0.098181469,0.150567136,100
3/29/2000,0.24015748,5.6,16.1,0.102700517,0.168635193,112
3/30/2000,0,2.8,12.8,0.090334076,0.129487737,86
3/31/2000,0,-1.7,13.3,0.102867032,0.096362967,64
4/1/2000,0,-1.1,17.8,0.129025811,0.085823268,57
4/2/2000,0,6.1,21.7,0.143284548,0.076789239,51
4/3/2000,0,7.2,13.9,0.084668199,0.06624954,44
4/4/2000,0.318897638,6.7,20,0.132133816,0.072272225,48
4/5/2000,0,2.8,11.1,0.083597394,0.072272225,48
4/6/2000,0.078740157,1.1,14.4,0.110101112,0.064743869,43
4/7/2000,0,4.4,17.8,0.125970778,0.063238197,42
4/8/2000,0.039370079,8.9,25.6,0.171853558,0.051192826,34
4/9/2000,0.838582677,0.6,16.1,0.124448783,0.085823268,57
4/10/2000,0,0.6,12.2,0.100365974,0.070766554,47
4/11/2000,0.098425197,-2.2,10.6,0.096539957,0.054204169,36
